epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,573.479,1.33383,0.97566,1.12057,0.59042,0.27397,0.26012,0.14839,1.4981,0.9685,1.18045,0.000624,0.000624,0.000624
2,1140.65,1.32398,0.8488,1.11882,0.46005,0.3334,0.33093,0.20134,1.28571,0.78799,1.09158,0.00120778,0.00120778,0.00120778
3,1711.7,1.28895,0.79795,1.10101,0.52008,0.38832,0.37883,0.23008,1.26329,0.73624,1.07038,0.0011675,0.0011675,0.0011675
4,2282.9,1.24622,0.75905,1.0826,0.53053,0.42468,0.42766,0.26859,1.21189,0.67854,1.04041,0.00112625,0.00112625,0.00112625
5,2854.97,1.22008,0.72762,1.07136,0.53442,0.44754,0.46153,0.29105,1.18913,0.65685,1.03423,0.001085,0.001085,0.001085
6,3426.14,1.20141,0.70513,1.0546,0.58621,0.45607,0.4791,0.3034,1.1787,0.63737,1.02403,0.00104375,0.00104375,0.00104375
7,3993.24,1.18688,0.69178,1.05092,0.58631,0.48475,0.49319,0.31413,1.1603,0.6329,1.0196,0.0010025,0.0010025,0.0010025
8,4558.81,1.17876,0.67831,1.04948,0.59506,0.44052,0.49861,0.32053,1.14898,0.61809,1.01321,0.00096125,0.00096125,0.00096125
9,5125.29,1.16047,0.66916,1.04066,0.66768,0.44825,0.52053,0.33805,1.14302,0.60216,1.00418,0.00092,0.00092,0.00092
10,5691.36,1.14949,0.65303,1.03253,0.53134,0.50751,0.51728,0.33925,1.13182,0.60084,1.00131,0.00087875,0.00087875,0.00087875
11,6256.68,1.14619,0.64829,1.03141,0.60397,0.4925,0.53018,0.34347,1.13392,0.59068,1.00481,0.0008375,0.0008375,0.0008375
12,6822.94,1.14111,0.63911,1.02762,0.62374,0.47506,0.52417,0.33937,1.12254,0.59176,1.00057,0.00079625,0.00079625,0.00079625
13,7389.59,1.1276,0.62878,1.02405,0.6467,0.51188,0.55186,0.357,1.1281,0.57914,0.99536,0.000755,0.000755,0.000755
14,7956.36,1.12252,0.62249,1.01827,0.61736,0.52691,0.55323,0.3674,1.11029,0.56934,0.99564,0.00071375,0.00071375,0.00071375
15,8523.3,1.11396,0.6175,1.01608,0.61153,0.51749,0.56056,0.36329,1.1106,0.56477,0.99544,0.0006725,0.0006725,0.0006725
16,9089.57,1.10919,0.60632,1.01159,0.6516,0.53123,0.57646,0.37787,1.10217,0.55926,0.98668,0.00063125,0.00063125,0.00063125
17,9656.5,1.10727,0.60479,1.01211,0.62129,0.53145,0.57321,0.37408,1.10146,0.55813,0.99205,0.00059,0.00059,0.00059
18,10221.2,1.09506,0.59441,1.00397,0.63997,0.54217,0.58151,0.38578,1.09667,0.55312,0.98489,0.00054875,0.00054875,0.00054875
19,10787.1,1.08745,0.58378,1.00131,0.6624,0.53921,0.58107,0.38258,1.09969,0.55216,0.98676,0.0005075,0.0005075,0.0005075
20,11357,1.08468,0.58438,0.99869,0.70223,0.5163,0.59435,0.39024,1.09323,0.54688,0.98052,0.00046625,0.00046625,0.00046625
21,11931,1.07863,0.57164,0.99532,0.71301,0.55261,0.6103,0.40157,1.09082,0.53916,0.9818,0.000425,0.000425,0.000425
22,12504.6,1.0737,0.56824,0.99456,0.69473,0.54345,0.6069,0.40094,1.08743,0.53827,0.9809,0.00038375,0.00038375,0.00038375
23,13077.8,1.07027,0.5642,0.99099,0.73091,0.53944,0.6171,0.4091,1.08479,0.53498,0.97756,0.0003425,0.0003425,0.0003425
24,13651.3,1.06212,0.55777,0.99137,0.70426,0.5394,0.61038,0.40845,1.08581,0.53733,0.97912,0.00030125,0.00030125,0.00030125
25,14223.9,1.05439,0.55146,0.9865,0.66028,0.57306,0.60356,0.40128,1.08521,0.53371,0.97681,0.00026,0.00026,0.00026
26,14795.4,1.08914,0.54296,0.9957,0.67779,0.55048,0.61508,0.40808,1.09133,0.53348,0.98223,0.00021875,0.00021875,0.00021875
27,15365.9,1.08261,0.53665,0.99377,0.66716,0.55986,0.60724,0.40288,1.08855,0.53452,0.97854,0.0001775,0.0001775,0.0001775
28,15935.5,1.07285,0.52913,0.9846,0.66843,0.55312,0.61238,0.40647,1.08908,0.53447,0.97826,0.00013625,0.00013625,0.00013625
29,16506.4,1.07113,0.52522,0.98643,0.69005,0.55603,0.62318,0.40994,1.085,0.53172,0.9773,9.5e-05,9.5e-05,9.5e-05
30,17076.4,1.06886,0.52004,0.98399,0.67451,0.559,0.61984,0.40876,1.08405,0.53094,0.97746,5.375e-05,5.375e-05,5.375e-05
